image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,27.993005473891643,28.01905121244009,28.09210550028049,27.990363708685276,28.085855437033427,27.915221526611464
barbara,28.24135424524302,28.238122141217033,28.203798410948494,27.97425352343207,28.21031987552166,28.148970677301048
boat,28.44527693915464,28.46486968502623,28.37981177160502,27.985509074144655,28.310259683089107,28.44490452418096
couple,28.482728968663643,28.47973050058758,28.393617662348202,27.976999995174143,28.31350982915259,28.43005765752707
lenna,28.402029529586358,28.401454325215354,28.341512003668598,27.981328561022053,28.293606891458474,28.39010091625609
man,28.359480075433478,28.337904251958882,28.296752163127906,27.998099879530916,28.280904132090157,28.28677910412261
peppers,28.39577637599845,28.401283295078308,28.348664568332143,27.985769438375062,28.279115795221195,28.412940559722728
