image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,27.848227413856975,27.91667953471286,27.949849734352505,27.99079407928008,27.995426751415383,27.869580405841138
barbara,28.157594761387212,28.09078240969846,28.10440855893693,27.989521216900176,28.100584713960405,28.038040017547484
boat,28.303929428782272,28.318563205147214,28.233727174207893,27.968307110724403,28.227477941398615,28.269846770194555
cman,28.287387751961255,28.310013477894355,28.218705143959305,27.910134237880563,28.187118618651773,28.30538617437149
couple,28.37067745309494,28.321110360950826,28.30551863002164,27.938007455648464,28.190514188858806,28.20749960175453
house,28.359911600827242,28.365660513285412,28.298592204927196,27.848068457178726,28.273033762451625,28.228930953540896
lenna,28.334924216162136,28.280808438278,28.292634176752564,28.093914217405196,28.175040752244954,28.170501472474633
man,28.117707595671483,28.184906479343063,28.080247541504185,28.02701096862838,28.28688214234109,28.157744122995844
monarch,28.159707638839112,28.177215720184044,28.140601121668084,27.957759168351302,28.106790946490122,28.01325360852541
parrot,28.157424068695654,28.215676689016362,28.14461992579143,27.97865549488387,28.09596477777422,28.2173096291502
peppers,28.218759242708767,28.234780447608788,28.213482378981706,28.015142534314244,28.150367533301125,28.136840848900828
starfish,28.088135796665252,28.09390370420587,27.992282980396478,28.004645150923736,28.121123361279267,28.04313901060961
