image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,29.982772817748284,30.054135598278574,29.99171474213717,29.069842787494558,29.638997652687415,29.244029673973596
barbara,29.255691024035112,29.23908648755478,29.137507532470007,29.110028039352564,29.168365304537662,28.267679637477976
boat,29.651153912135317,29.572658443000826,29.413555340970483,29.137881877010898,29.61023795784026,28.57420557062021
cman,29.893938073505353,29.881861397132838,29.656634596388475,28.84864344891929,29.508744181617974,29.338083157954777
couple,29.499405481492502,29.600054046613685,29.324998157179962,29.187364394356855,29.63799241605258,28.517925476497897
house,30.86557698570068,30.81628136762329,30.1827723499729,29.328545105576925,30.11112200218891,29.858581647383087
lenna,29.884464576795658,29.96547781376045,29.488245774664307,29.125118906152473,29.361710630776642,28.618382074149803
man,29.613264977059018,29.498751652201793,29.378268742362273,29.119536893898548,29.35025287237667,28.412731068437967
monarch,29.428411031334374,29.355422694180092,29.24208459133932,29.06807941156699,28.966058496190918,28.393629806732253
parrot,29.717566422718274,29.699528638469364,29.49461301764664,28.967459522850795,29.349045594129272,28.665518192989502
peppers,29.787385262720125,29.72256559763,29.52938369230118,29.005433167148546,29.414809188993736,28.4867178614904
starfish,29.14662129012067,29.18434976055407,29.19985074512183,28.934826544876636,29.194659539101732,28.232858687288406
