image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,31.43221215384075,31.461237757903287,31.225429315545703,29.392777157068082,30.59981223272947,30.284096870831387
barbara,30.746706991757755,30.74170526316046,30.1262793221877,29.337818901219258,30.337961903990983,29.22069743348141
boat,31.033200341908348,31.01910029516524,30.36860918129105,29.3463935682483,30.43237356838528,29.461947673038647
cman,30.391492881343115,30.360550275572272,30.022062142721637,29.058018682307175,29.879165616362254,29.826764598690325
couple,30.829164689221308,30.834670838612382,30.16261730193499,29.347997394326953,30.354630070025536,29.211362467702713
house,31.951581118966878,31.964073857565545,31.040760970719447,29.425127096384905,30.93260103660526,30.996494503210265
lenna,31.791649029316122,31.7875050454062,30.805594831138933,29.444837564919446,30.831794081609914,29.94294249129957
man,31.248123573214276,31.23673994266766,30.439197899997925,29.41956605951053,30.620952623586767,29.43380271007863
monarch,31.512070998475252,31.5394052435391,30.534695680977563,29.41876723994444,30.483788044764438,29.94633139935508
parrot,30.474685070961762,30.478660082946732,29.974866436487993,29.0025316404365,29.932951159213907,29.559364933025584
peppers,31.616983421075734,31.636442694059625,30.616582165905935,29.31062361157785,30.67221620306945,29.88215397859402
starfish,30.977306317253834,30.9854363306231,30.349424747524687,29.250003919178383,30.251973815876543,28.93981111126589
