image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,32.07926096667214,32.0930369601398,31.806646079340645,29.42196897588876,30.939911842509925,30.800609719435535
barbara,30.876747470999682,30.885721150339197,30.154188464023633,29.374848416311202,30.33047176746614,29.541798229852013
boat,31.29132482371638,31.29301512291415,30.533124629052153,29.35623323182523,30.671455739606138,29.674582436826384
couple,31.191659365560973,31.203448279155875,30.37505259126884,29.342710693560132,30.556150805028743,29.490582775573195
lenna,32.20733492228596,32.19006587547205,31.031327100723253,29.433997949856625,31.12319778345573,30.50962163828519
man,31.73158574792467,31.72832054476902,30.68276936017601,29.426882625418713,30.879445770757286,29.912961272872373
peppers,31.614493392044622,31.606175808635196,30.63605594060958,29.28093963099461,30.846857670596663,30.38246537726147
