image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,29.53484825467619,29.588806390540388,29.368752277187955,28.447545602196506,29.204155475216144,29.048397026775874
barbara,29.415064811810737,29.409395657722328,29.137849287699424,28.46783839156142,29.20093754969845,28.76746929533137
boat,29.643735335903777,29.63613634052498,29.242797630088706,28.494871315494407,29.226382937200846,29.011804525831657
cman,29.2944517386422,29.288694649518007,28.882126344196976,28.405039397267892,28.91907747038377,29.209847386697202
couple,29.657514182441087,29.66833239161817,29.28299270278165,28.50173062268974,29.254308890865225,28.891882845066135
house,30.07048272711238,30.081039904587236,29.46248072205468,28.532635236823253,29.45552381749011,29.929910603011596
lenna,29.975982152760047,29.990061131139054,29.47562141656974,28.532016670638182,29.39191059981487,29.327643256721025
man,29.74931586968364,29.753437886561724,29.34775796660422,28.496673980272448,29.367758340664945,28.960470135355216
monarch,29.79895747317917,29.772463450951065,29.38189307252998,28.51973773801791,29.29522454856185,29.242863547144896
parrot,29.12834698996187,29.139117944498864,28.846253402488372,28.34374797029957,28.880631285969606,28.857040917069313
peppers,29.81233171023604,29.831541144036613,29.31349054047784,28.478899894619886,29.309418605161206,29.294028137743734
starfish,29.409017621326768,29.42118019469739,29.15701887964264,28.404659652981824,29.068822837252863,28.513132897309074
