image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,27.927671884749866,27.97348333337272,28.047541835782397,28.00783653733975,28.072794671680413,27.88206077658838
barbara,28.20002731500977,28.203902026314665,28.16141843529366,27.988376985718272,28.180190653943946,28.100742657413996
boat,28.380439565273218,28.356467577889287,28.35637543960905,27.97837908122778,28.25555872773932,28.302012676815828
cman,28.395688858745164,28.382160936375392,28.36245796702358,27.981758677476016,28.21761519773012,28.451293076474705
couple,28.398806053051928,28.41306484498231,28.297275448979292,27.95062019442196,28.268040751175114,28.282614285634722
house,28.402289472188453,28.423932242450576,28.364365225448278,28.008890544769336,28.262632660794953,28.334060256187446
lenna,28.34409945608734,28.318898126200168,28.279562896127196,28.006437602307884,28.248940257798022,28.214611823759785
man,28.30621960842716,28.275551606255604,28.291137694735895,27.98313431161293,28.241140803961247,28.15964092876115
monarch,28.240053367952406,28.24329745116561,28.23059600909329,27.968113058506052,28.24868150282552,28.145572012788342
parrot,28.276889205060257,28.249528642275685,28.2169635243375,27.984407866032193,28.163567894481773,28.217239324377775
peppers,28.32852221724361,28.355599321986666,28.312641307860403,27.93809366770089,28.185432565694125,28.226610703155487
starfish,28.185070203468886,28.1660070165105,28.14875956566924,27.965221176129006,28.22340071874896,28.01548066646484
