image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,29.040040770687455,29.098949583246274,28.83692621251614,28.476074116048274,28.876728286374366,28.661143274943242
barbara,28.71554855972432,28.78427825150188,28.723258624556294,28.397664325314565,28.697595352659853,28.12554775555027
boat,29.107557815940076,29.081124265413113,28.79224723144346,28.42368553392799,28.862851405002928,28.461941983814963
cman,29.18441733031173,29.215761150659972,28.794828564672233,28.339004651444434,28.768089326199465,28.997982715715516
couple,29.133458652292287,29.094870282768063,28.91207263784341,28.475936355211505,28.91861426120038,28.425012820743092
house,29.727325509645844,29.730343331935863,29.28790137563517,28.638678996107593,29.21336610924417,29.276912539152168
lenna,29.132951138220534,29.227455929495292,29.032452466332042,28.39739373755469,28.84355543452806,28.44031153932137
man,28.859088162353945,28.960908146919138,28.824518964832272,28.423991794883374,28.821546989553056,28.36352335563946
monarch,28.936102661779678,28.91054979050812,28.834394548479693,28.499903492793685,28.611507173712432,28.39254856163109
parrot,28.74936785907107,28.773114226668763,28.56910053778438,28.352440447160387,28.58677659487514,28.47030338504449
peppers,29.163480548287573,29.193833313820736,28.99716718176348,28.397607951474292,28.931446647414376,28.408874698794286
starfish,28.67650486434346,28.681858171193426,28.647125313695586,28.35305418291251,28.74187984230298,28.151528621756352
