image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,27.982347175248712,27.990332110288687,28.06971791014081,27.966130265239126,28.10219732342185,27.874906359238715
barbara,28.23865777099438,28.245744352974967,28.19192060870488,27.982977385329583,28.222517373585816,28.165542729737272
boat,28.421301407134244,28.429684238142706,28.341099169816808,27.97551872122229,28.295544715086574,28.386536232620205
cman,28.37062212877424,28.383295785719834,28.33229814400142,27.982933831284797,28.190111094672776,28.39230996371611
couple,28.466744242468618,28.465899472994437,28.37430168051904,27.99132283743331,28.31949052915617,28.40672606074065
house,28.418921420965493,28.428998536350623,28.388795858248987,28.002379248208097,28.281432715471716,28.36435683391408
lenna,28.405430469767946,28.394860613760933,28.333744300887894,27.967008913225836,28.307495596719704,28.34172104403045
man,28.369910678800544,28.33541808398951,28.31030699199726,27.985939444612814,28.29183429248061,28.226323468666926
monarch,28.300931946564532,28.291029054814114,28.245321811904663,27.99051496713851,28.24225774824449,28.203508469541042
parrot,28.246107730347948,28.269915879022257,28.192820606937985,27.954690262156966,28.14266388247196,28.260931380207012
peppers,28.38801462880619,28.40875954100045,28.358889700801683,27.991894661722093,28.29159016110655,28.35640545413718
starfish,28.217753792336808,28.194971544793628,28.14092525236307,27.958831664268313,28.195885629271963,28.078720323775478
