image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,30.668274063003004,30.678017593426286,30.54699676720555,29.26101763667259,30.08254779583002,29.736949260551402
barbara,30.12810528738374,30.155405615573486,29.767780388254653,29.270577232844914,29.797567256536603,28.655303937023234
boat,30.211420961386697,30.23674132315506,29.824900477195197,29.24323509835617,29.99542290890483,28.895799493989824
cman,30.315857554433734,30.35371122534048,29.991637437557863,29.076652978446965,29.793864778012647,29.77700247756752
couple,30.07512140572362,30.094075732602853,29.679183295378152,29.230446012233603,29.880790419588127,28.77372276936007
house,31.50822997372692,31.535145223566357,30.776732911462005,29.39509591497504,30.633623460507057,30.68263757800901
lenna,30.85005613726895,30.883930739074643,30.226151396521107,29.31428763238818,30.265753699538557,29.193403332524873
man,30.18039630724359,30.200047250823378,29.819684407583576,29.283924215150037,29.981648252049908,28.847223955994163
monarch,30.62082211600709,30.65477780755785,30.07156008376696,29.423389232392886,29.784843489834447,29.067138798616394
parrot,30.37878311747306,30.347321180801494,29.88768896785035,29.028373195050413,29.838445304039077,29.23508881450807
peppers,30.87017683552533,30.862368936561072,30.166840775714086,29.27020850403174,30.11247721962519,29.16179974059437
starfish,30.23178066392783,30.274030290936537,30.001111387302792,29.2222520896788,29.744456858807492,28.545122785008473
