image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,29.711051390337765,29.767740538649825,29.51289471669802,28.448612108674695,29.281807214531742,29.25408873448781
barbara,29.441578828423506,29.433544863891086,29.109119595781003,28.46845307626371,29.153604203093444,28.879628239180278
boat,29.748929180232032,29.750124710249175,29.271320170024012,28.484070472702115,29.32095834946525,29.165944527238636
couple,29.798272767485507,29.80037903823203,29.349554215691363,28.49818837165123,29.329320950199147,29.100256630616794
lenna,30.10319550216402,30.110506490415855,29.517769196655962,28.521935059448428,29.522623360580205,29.653759056687697
man,29.91215623754949,29.887360264239348,29.432817699350096,28.504300693434015,29.436379105268855,29.26527438520796
peppers,29.860387502440155,29.857668768916376,29.349505741642083,28.495372721390318,29.374991381737708,29.569552982470412
